id,lat,lng,segment,app_type,acum_total
2455,-0.0965628000,-78.4194134000,At risk confident,B2B,3269.266463278
1503,-2.0717518000,-79.9314515000,Champion confident,B2B,10452.9890304
2823,-0.2057658000,-78.4290014000,Inactive,B2B,0
99,-0.0769947000,-78.4411678000,Loyal shy,B2B,10652.413816684
397,-0.3427019000,-78.5654805000,At risk shy,B2B,1238.812484771
1330,-2.2656681000,-79.8933965000,Loyal confident,B2B,12645.295578114
3482,-0.0710195000,-78.3686207000,Champion confident,B2B,2303.428663563
2762,-0.0566804000,-78.4342024000,Champion confident,B2B,12974.022173383
868,-0.0555503000,-78.3443350000,Inactive,B2B,0
634,-0.2489413000,-78.5168745000,Inactive,B2B,0
510,-0.2349548000,-78.3221806000,About to sleep,B2B,299.681577043
838,-0.0913026000,-78.4283508000,At risk shy,B2B,287.744776
5564,-2.2089337000,-79.9212036000,Newbie Confident,B2B,1487.3230778
2583,-0.2274822000,-78.4831946000,Inactive,B2B,0
835,-0.2456356000,-78.5182474000,Champion confident,B2B,52884.998056695
2767,-0.2315219000,-78.4491250000,Inactive,B2B,0
4630,0.0564843000,-78.3394624000,Inactive,B2B,0
3748,-0.1168558000,-78.4579482000,Inactive,B2B,0
4239,-2.1182120000,-79.9628999000,About to sleep,B2B,206.599380624
2146,-2.2172745000,-79.9021318000,Champion shy,B2B,564.298079346
3892,-2.2136358000,-79.9258278000,About to sleep,B2B,10.382245346
4660,-0.2389623000,-78.5469197000,Newbie Confident,B2B,1043.4158208
1147,-0.2794604000,-78.5479901000,Loyal shy,B2B,207.122084352
3991,-0.2634574000,0.0000000000,Loyal shy,B2B,277.042489366
1523,-2.1279037000,-79.8927801000,Inactive,B2B,0
850,-0.2460168000,-78.5207945000,Loyal confident,B2B,1002.93466504
333,-0.2837974000,-78.4975875000,Inactive,B2B,0
2943,-2.2214762000,-79.9387539000,About to sleep,B2B,0.7778483755
3909,-0.9255153000,-78.6215654000,Inactive,B2B,0
599,-0.0701039000,-78.4147554000,About to sleep,B2B,68079.51397472
4804,-2.1202105000,-80.0010306000,Newbie shy,B2B,470.242304
1505,-0.3267368000,-78.5665575000,Inactive,B2B,0
2768,-0.1475857000,-78.4909844000,About to sleep,B2B,46.758336202
3480,0.2276875000,-78.2600625000,Newbie Confident,B2B,851.035774175
821,-0.0840068000,-78.5077229000,Inactive,B2B,0
376,-0.1840971000,-78.4796544000,At risk shy,B2B,10508.003662262
964,-0.2650475000,-78.4806658000,Inactive,B2B,0
148,-0.2159277000,-78.5044236000,Inactive,B2B,0
2982,-0.1098873000,-78.4439153000,About to sleep,B2B,1.8928
4871,-2.1182174000,-79.9486725000,Newbie shy,B2B,64.085362963
6054,-0.2520150000,-79.1703155000,Inactive,B2B,0
5879,-2.1747129000,-79.9021163000,Inactive,B2B,0
932,-0.1489831000,-78.4902228000,Inactive,B2B,0
5024,-2.0639323000,-79.9528342000,Newbie Confident,B2B,3277.752861606
668,-0.3561657000,-78.4412614000,About to sleep,B2B,840.899237178
1651,-0.1006355000,-78.4183354000,Loyal shy,B2B,401.320512834
625,-0.2887692000,-78.5054763000,Champion confident,B2B,68924.551329698
1500,-2.1996192000,-79.9248895000,Inactive,B2B,0
5475,-0.2360519000,-78.4846936000,Newbie shy,B2B,750.153184
2034,-0.3286385000,-78.5350722000,Inactive,B2B,0
1948,-2.1949010000,-79.8914714000,Newbie shy,B2B,318.0084768
2785,-0.1165496000,-78.4926735000,At risk shy,B2B,157.150251364
1931,-0.0856906000,-78.4221158000,Inactive,B2B,0
4984,-0.2127158000,-78.5203885000,Newbie shy,B2B,16.5648
3697,-2.0545423000,-79.9879800000,Champion confident,B2B,39957.573700373
3660,-2.0731817000,-79.9416387000,At risk shy,B2B,82.865313975
2073,-0.1006355000,-78.4183354000,About to sleep,B2B,2470.389685849
5149,-0.2469520000,-79.1683028000,Inactive,B2B,0
1052,-0.2947531000,-78.4515886000,Loyal shy,B2B,436.093956521
4798,-2.0732603000,-79.9439848000,Newbie shy,B2B,524.707554714
385,-0.1093127000,-78.2982158000,Inactive,B2B,0
1277,-0.2846627000,-78.4687080000,Inactive,B2B,0
3194,-2.1557917000,-79.7892350000,About to sleep,B2B,2456.426086716
1520,-2.0759844000,-79.9336017000,Champion confident,B2B,1198.642706806
2471,-2.1361021000,-79.8938260000,Champion confident,B2B,2448.10307578
5440,-0.2604596000,-78.5292896000,Inactive,B2B,0
3374,-2.1520947000,-79.9465648000,Inactive,B2B,0
733,-0.2130936000,-78.4059997000,Inactive,B2B,0
2032,-0.1386687000,-78.4301684000,About to sleep,B2B,934.9953536
204,-0.1876553000,-78.5097299000,Inactive,B2B,47841.899958132
2150,-0.2986212000,-78.5311709000,Champion confident,B2B,2296.184707114
4951,0.3142913000,-78.2005240000,Newbie Confident,B2B,1009.723757714
2974,-2.2300962000,-79.9117827000,Champion confident,B2B,8067.670316186
191,-0.3377966000,-78.4445644000,Inactive,B2B,0
2004,-0.2801762000,-78.5566330000,Champion confident,B2B,6472.907279344
2870,-0.2546796000,-78.5316002000,Champion shy,B2B,176.0020416
1320,-0.3122304000,-78.3461448000,Inactive,B2B,0
3039,-0.2163649000,-78.4101950000,Inactive,B2B,0
1745,-0.2920789000,-78.3982424000,Inactive,B2B,423.415
3719,-0.3111377000,-78.5266582000,Inactive,B2B,0
701,-0.2279681000,-78.3346043000,Inactive,B2B,11878.9454
568,-0.2984021000,-78.5652088000,Loyal shy,B2B,674.8006507
6325,-2.7109490000,-80.2516473000,Inactive,B2B,0
1969,-2.0881277000,-79.9001603000,Inactive,B2B,0
74,-0.3109876000,-78.4000012000,Newbie shy,B2B,44.050304
6127,-0.2777743000,-79.1900696000,Inactive,B2B,0
2309,-0.1271443000,-78.4251084000,Inactive,B2B,0
