lat,lng
4.67,-74.02
4.58,-74.12
4.65,-74.18
4.55,-74.09
4.68,-74.10
4.60,-74.18
4.61,-74.20
4.62,-74.20
4.68,-74.11
4.70,-74.09
4.67,-74.14
4.70,-74.21
4.55,-75.66
4.71,-74.24
4.61,-74.11
4.92,-74.02
4.73,-74.09
4.71,-74.07
4.70,-74.07
5.02,-73.99
4.75,-74.10
4.61,-74.14
4.61,-74.15
4.76,-74.09
4.76,-74.10
4.57,-74.23
4.53,-74.14
4.62,-74.07
4.74,-74.02
4.56,-74.23
4.65,-74.12
4.67,-74.05
4.66,-74.05
4.96,-73.92
4.73,-74.12
4.57,-74.13
4.49,-74.11
4.62,-74.10
4.68,-74.05
4.62,-74.14
4.71,-74.14
4.73,-74.07
4.61,-74.19
4.65,-74.14
4.80,-74.11
4.79,-74.34
4.64,-74.05
4.49,-74.26
4.65,-74.15
4.71,-74.04
4.74,-74.34
4.88,-73.94
4.67,-74.01
3.43,-76.53
4.74,-74.25
5.04,-73.99
5.03,0.00
4.87,-74.07
6.20,-75.58
4.96,-74.29
4.73,-74.18
4.99,-73.88
