lat,lng
19.58,-98.98
19.47,-99.16
19.51,-99.11
19.41,-99.09
19.49,-99.14
19.44,-99.25
19.51,-99.07
19.68,-99.14
19.46,-99.18
19.48,-99.12
19.57,-99.06
19.64,-99.17
19.69,-99.17
19.50,-99.09
19.40,-98.98
19.64,-99.04
19.46,-99.25
19.64,0.00
19.61,-99.15
19.60,-99.05
19.68,-99.23
19.65,-99.09
19.51,-99.28
19.37,-99.13
19.60,-99.26
19.39,-98.95
19.44,-98.96
19.66,-99.12
19.67,-99.01
19.65,-99.02
19.37,-99.02
19.42,-98.89
19.59,-98.89
19.63,-98.93
19.62,-99.29
19.52,-99.05
19.45,-99.24
19.73,-99.16
19.36,-99.09
19.27,-99.13
19.62,-99.06
19.60,-99.18
19.34,-99.11
19.47,-99.13
19.57,-99.22
19.53,-99.22
19.44,-99.34
19.44,-99.11
19.43,-99.04
19.54,-99.18
19.37,-98.96
19.42,-99.22
19.70,-99.08
19.58,-99.07
19.67,-99.17
19.45,-99.16
19.65,-99.21
19.52,-98.88
19.66,-99.00
19.65,-98.89
19.31,-98.93
19.53,-99.04
19.76,-98.96
19.45,-99.20
19.36,-99.04
19.50,-99.08
19.71,-99.22
19.55,-98.89
19.52,-98.82
19.32,-99.11
19.32,-99.07
19.41,-99.07
19.64,-99.01
19.35,-98.96
19.36,-98.97
19.64,-99.03
19.68,-99.01
19.61,-99.04
19.46,-99.05
19.53,-98.83
19.39,-98.98
19.61,-98.96
19.60,-99.06
19.67,-99.15
19.35,-99.12
19.69,-98.99
19.60,-99.30
19.59,-99.16
19.49,-99.24
19.46,-99.09
19.45,-99.10
19.47,0.00
19.43,-99.27
19.41,-99.10
19.51,-98.86
19.61,-99.35
19.64,-99.27
19.51,-98.81
19.42,-98.90
19.81,-99.01
19.55,-99.19
19.52,-99.15
19.40,-99.20
19.31,-98.94
19.72,-99.17
19.61,-99.09
19.54,-98.88
19.62,-98.99
19.61,-99.31
19.69,-99.22
19.40,-99.08
19.80,-99.11
19.40,-98.93
19.64,-99.23
19.42,-98.92
19.68,-98.96
19.55,-98.81
19.67,-99.08
19.36,-99.15
19.45,-99.30
19.56,-99.21
19.43,-99.26
19.70,-99.05
19.45,-99.23
19.52,-98.76
19.51,-98.89
19.68,-99.08
19.62,-98.98
19.49,-99.17
19.68,-98.98
19.51,-99.22
19.50,-99.23
19.49,-98.78
19.70,-99.24
19.44,-99.21
19.31,-99.04
19.45,-99.22
19.55,0.00
19.53,-99.11
19.48,-98.78
19.69,-99.26
19.54,-99.13
19.34,-98.97
19.50,0.00
19.53,-98.93
19.69,-99.03
19.41,-99.17
19.68,0.00
19.70,-99.16
19.41,-98.97
19.78,-98.99
19.64,-98.92
19.56,-99.09
19.52,-99.13
19.57,-99.09
19.51,-99.17
19.44,-99.04
19.33,-99.08
19.34,-99.05
19.45,-99.27
19.63,-99.18
19.44,-99.24
19.65,-99.16
19.37,-99.04
19.46,-99.13
19.41,-99.12
19.48,-99.16
19.46,-99.11
19.44,-99.29
19.59,-99.04
19.61,-99.17
19.52,-99.23
19.53,-99.05
19.38,-99.00
19.35,-99.00
19.34,-99.02
19.74,-99.07
19.65,-99.00
19.45,-99.09
19.50,-99.03
19.56,-99.01
19.60,-99.01
19.38,-99.08
19.60,-99.03
19.37,-99.07
19.45,-98.95
19.49,-99.04
19.69,-99.05
19.61,-99.07
19.35,-99.06
19.66,-99.01
19.49,-98.87
19.61,-99.19
19.54,-99.03
19.72,-98.97
19.59,-99.00
19.41,-98.92
19.41,-99.08
19.68,-99.25
19.63,-99.31
19.33,-99.07
19.55,-99.12
19.37,-98.91
19.55,-99.18
19.53,-99.21
19.38,-99.11
19.58,-99.18
19.54,-99.06
19.59,-99.03
19.45,-99.05
19.33,-99.04
19.63,-99.34
19.55,-99.05
19.64,-99.29
19.37,-99.11
19.33,-99.00
19.40,-99.00
19.57,-99.07
19.39,-99.05
19.48,-99.07
19.39,-98.93
19.49,-99.10
19.64,-98.99
19.43,-98.90
19.38,-99.13
19.57,-98.94
19.42,-98.93
19.42,-99.10
19.67,-98.93
19.67,-99.10
19.29,-98.95
19.49,-99.25
19.55,-99.24
19.63,-99.08
19.64,-99.25
19.64,-99.21
19.76,-99.18
19.67,-99.00
19.63,-99.32
19.30,-98.94
19.53,-99.15
19.38,-98.92
19.67,-99.04
19.39,-99.09
19.66,-99.09
19.56,-99.06
19.53,-99.18
19.40,-99.26
19.30,-99.05
19.49,-99.28
19.58,-99.17
19.42,-98.96
19.51,-99.12
19.48,-99.14
19.47,-99.28
19.39,-99.10
19.51,-98.92
19.61,-99.25
19.32,-98.95
19.64,-99.36
19.51,-98.87
19.51,-99.19
19.54,-98.86
19.49,-99.12
19.70,-98.94
19.40,-99.12
19.50,-98.76
19.46,-99.06
19.43,-99.14
19.60,-99.21
19.72,-99.20
19.68,-99.29
19.74,-98.97
19.41,-98.91
19.44,-99.18
19.74,-99.18
19.69,-99.14
19.68,-99.04
19.59,-99.31
19.54,-99.05
19.74,-99.10
19.44,-99.20
19.51,-99.13
19.62,-98.92
19.73,-99.09
19.57,-99.14
19.80,-99.02
19.63,-99.33
19.48,-99.25
19.50,-98.92
19.75,-99.07
19.39,-99.20
19.46,-98.90
19.52,-98.81
19.71,-99.17
19.62,-99.36
19.62,0.00
19.52,-99.26
19.67,-99.20
19.46,-98.86
19.65,-99.31
19.31,-99.10
19.41,-98.87
19.65,-99.08
19.70,-99.01
19.73,-99.23
19.40,-99.18
19.38,-99.15
19.47,-98.91
19.52,-98.92
19.46,-99.28
19.37,-98.99
19.46,-99.15
19.49,-99.15
19.39,-98.99
19.55,-99.08
19.58,-98.99
19.62,-99.09
19.47,-99.07
19.55,-99.03
19.68,-98.97
19.34,-99.00
19.61,-99.24
19.57,-99.05
19.44,-99.08
19.64,-99.22
19.55,-99.16
19.36,-99.02
19.44,-99.26
19.43,-99.15
19.38,-98.97
19.33,-98.97
19.67,-99.23
19.53,-99.02
19.67,-99.09
19.52,-99.11
19.48,-99.24
19.49,-99.21
19.68,-99.16
19.67,-99.13
19.52,-99.14
19.49,-99.07
19.46,-99.29
19.47,-99.25
19.37,-99.05
19.60,-99.17
19.39,-99.01
19.41,-99.27
19.65,-99.10
19.48,-99.04
19.78,-99.02
19.32,-99.10
19.49,-99.22
19.28,-98.95
19.33,-99.12
19.53,-99.06
19.61,-99.01
19.62,-98.93
19.66,-99.17
19.40,-99.19
19.61,-98.98
19.42,-99.02
19.51,-99.06
19.48,-99.06
19.31,-99.09
19.56,-99.17
19.59,-99.24
19.67,-99.24
19.60,-99.28
19.46,-99.20
19.56,-99.02
19.57,-99.02
19.63,-99.07
19.58,-99.01
19.52,-99.03
19.35,-99.07
19.50,-99.07
19.41,-99.00
19.58,-99.04
19.53,-98.86
19.61,-99.28
19.48,-99.08
19.68,-99.12
19.68,-99.00
19.43,-98.93
19.67,-99.02
19.54,-98.91
19.66,-99.18
19.52,-98.91
19.55,-98.90
19.82,-99.00
19.40,-98.97
19.41,-99.19
19.70,-99.19
19.52,-99.24
19.55,-98.88
19.67,-99.07
19.33,-99.02
19.60,-98.95
19.56,-99.13
19.36,-99.01
19.66,-99.16
19.64,-99.24
19.65,-99.28
19.41,-99.06
19.42,-98.88
19.27,-99.01
19.40,-99.11
19.51,-98.90
19.64,-99.12
19.70,-99.12
19.53,-99.24
19.67,-99.03
19.43,-99.06
19.42,-99.18
19.58,-99.20
19.41,-99.26
19.43,-98.97
19.49,-99.02
19.54,-99.24
19.41,-98.88
19.42,-99.12
19.48,-99.03
19.60,-99.27
19.66,-99.29
19.41,-98.96
19.44,-99.12
19.43,-99.32
19.47,-98.88
19.46,-99.19
19.28,-99.04
19.35,-99.03
19.51,-98.88
19.69,-99.06
19.43,-99.03
19.72,-99.05
19.69,-99.24
19.64,-98.93
19.61,-99.26
19.69,-99.16
19.65,-99.23
19.64,-99.33
19.66,-99.38
19.55,-99.27
19.65,-99.03
19.70,-99.06
19.66,-99.04
19.51,-98.85
19.59,-98.91
19.44,-99.35
19.74,-99.09
19.47,-99.29
19.56,-99.15
19.66,-98.90
19.42,-98.99
19.68,-99.06
19.45,-98.97
19.29,-99.05
19.29,-99.02
19.71,-99.23
19.49,-99.03
19.61,-98.93
19.70,-99.29
19.70,-99.11
19.75,-99.10
19.69,-99.02
19.58,-99.13
19.71,-99.18
19.69,-99.04
19.70,-99.22
19.31,-98.95
19.58,-98.95
19.65,-99.39
19.30,-98.93
19.65,0.00
19.58,-99.25
19.62,-99.16
19.52,-99.06
19.47,-99.24
19.62,-99.23
19.52,-99.07
19.64,-99.07
19.57,-99.20
19.46,-99.12
19.63,-99.14
19.44,-99.10
19.35,-99.09
19.55,-99.17
19.45,-99.06
19.60,-99.19
19.39,-99.02
19.56,-99.20
19.39,-98.96
19.33,-99.06
19.42,-98.97
19.62,-99.01
19.47,-99.14
19.38,-99.02
19.45,-99.15
19.49,-99.11
19.54,-99.02
19.65,-99.22
19.55,-98.91
19.65,-99.26
19.59,-99.18
19.37,-99.14
19.65,-99.17
19.64,-99.31
19.53,-98.91
19.47,-99.17
19.62,-99.20
19.34,-98.96
19.63,-99.00
19.42,-99.04
19.34,-99.07
19.48,-99.19
19.36,-99.05
19.41,-98.98
19.55,-99.04
19.51,-99.18
19.56,-99.19
19.67,-99.19
19.52,-98.87
19.59,-99.22
19.45,-99.28
19.42,-99.13
19.33,-99.03
19.57,-99.04
19.54,-99.09
19.49,-99.13
19.34,-99.08
19.52,-99.28
19.35,-99.11
19.44,-99.14
19.73,-99.17
19.59,-98.99
19.71,-99.08
19.64,-99.18
19.63,-99.16
19.45,-99.17
19.61,-99.05
19.36,-99.13
19.69,-98.98
19.45,-98.94
19.50,-98.90
19.37,-98.98
19.40,-99.04
19.29,-99.04
19.38,-99.04
19.46,-98.88
19.51,-98.91
19.61,-99.20
19.72,-99.19
19.59,-98.97
19.48,-99.13
19.43,-99.11
19.45,-99.29
19.36,-99.14
19.62,-99.04
19.47,-98.89
19.62,-98.95
19.64,-99.05
19.62,-99.24
19.76,-98.97
19.33,-99.11
19.66,-99.02
19.65,-99.04
19.50,-99.15
19.39,-99.04
19.72,-98.96
19.45,-98.93
19.59,-99.30
19.50,-98.91
19.57,-99.24
19.52,-99.08
19.60,-99.16
19.45,-99.19
19.71,-99.12
19.43,-99.13
19.52,-98.89
19.43,0.00
19.34,-99.06
19.48,-99.10
19.44,-99.16
19.59,-98.94
19.74,-98.96
19.50,-98.89
19.29,-99.01
19.31,-99.11
19.38,-98.90
19.56,-99.04
19.56,-98.87
19.63,-98.92
19.40,-99.06
19.48,-98.88
19.63,-99.09
19.48,-99.26
19.48,-98.86
19.63,-99.11
19.41,-99.11
19.55,-99.10
19.67,-99.12
19.64,-98.91
19.50,-99.29
19.47,-99.10
19.34,-99.12
19.64,-98.98
19.56,-99.18
19.38,-98.95
19.52,-98.77
19.61,-99.32
19.75,-98.95
19.78,-99.21
19.71,-98.98
19.70,-98.98
19.54,-98.84
19.34,-98.94
19.50,-98.86
19.30,-99.04
19.50,-98.83
19.37,-98.94
19.54,-99.25
19.44,-99.19
19.71,-99.14
19.43,-99.31
19.47,-99.05
19.67,-99.14
19.61,-99.23
19.67,-99.26
19.37,-99.28
19.61,-99.14
19.59,0.00
19.54,-99.21
19.42,-99.28
19.56,-99.07
19.43,-98.99
