,0
706,8966220940fffff
707,896622096abffff
708,896622094bbffff
709,8966220b317ffff
710,896622094cfffff
711,8966220b35bffff
712,896622094cbffff
713,8966220b24bffff
714,896622094afffff
715,8966220b3cbffff
716,8966220b233ffff
717,896622094c7ffff
718,8966220b383ffff
719,896622096b7ffff
720,8966220b38bffff
721,8966220b06fffff
722,89662209593ffff
723,8966220b34fffff
724,89662209433ffff
725,89662209483ffff
726,8966220943bffff
727,8966220b363ffff
728,8966220963bffff
729,8966220b24fffff
730,896622094b3ffff
731,8966220b247ffff
732,896622086cbffff
733,89662254d67ffff
734,89662254907ffff
735,8966220b353ffff
736,896622094d7ffff
737,89662209617ffff
738,896622548afffff
739,89662209447ffff
740,896622092dbffff
741,8966220b2b3ffff
742,8966220b323ffff
743,8966220b26fffff
744,8966220b347ffff
745,89662209407ffff
746,8966220b2abffff
747,8966225490bffff
748,89662209443ffff
749,8966220b213ffff
750,89662209437ffff
751,8966220b397ffff
752,8966220945bffff
753,89662254953ffff
754,8966220b203ffff
755,8966220b277ffff
756,8966220b263ffff
757,896622094a3ffff
758,89662254913ffff
759,89662209417ffff
760,8966220b223ffff
761,8966220b33bffff
762,896622549afffff
763,8966220949bffff
764,8966220b27bffff
765,89662209697ffff
766,8966220b253ffff
767,8966220b333ffff
768,896622094a7ffff
769,8966220b217ffff
770,89662254d6fffff
771,8966220b17bffff
772,89662209493ffff
773,89662209487ffff
774,8966220b327ffff
775,8966220b273ffff
776,8966220b337ffff
777,8966220b2bbffff
778,8966225498bffff
779,896622549c7ffff
780,89662254d2fffff
781,8966220941bffff
782,8966220b063ffff
783,8966220b14fffff
784,89662254917ffff
785,8966220944bffff
786,896622549b3ffff
787,89662209683ffff
788,8966220b23bffff
789,89662254957ffff
790,89662254823ffff
791,896622086dbffff
792,896622096bbffff
793,896622094d3ffff
794,8966220b237ffff
795,8966220b303ffff
796,8966220b39bffff
797,8966220b28bffff
798,8966220b38fffff
799,896622094c3ffff
800,896622092d3ffff
801,8966220b21bffff
802,8966225482fffff
803,8966220b3c7ffff
804,8966220946bffff
805,89662209457ffff
806,8966220b307ffff
807,8966220b20fffff
808,8966220966bffff
809,8966220b357ffff
810,896622094b7ffff
811,8966220b3b3ffff
812,89662254837ffff
813,8966220b06bffff
814,8966220b32bffff
815,896622549d7ffff
