id,lat,lng,segment,app_type,acum_total
293,4.7109886,-74.0720920,safe,B2B,37543977.6
21628,4.5730797,-74.1502550,uci,B2B,10657428.438361399
15391,4.6254431,-74.1652643,uci,B2B,40334472.51
1006,4.6114094,-74.0996690,churn,B2B,4133166.1520000002
1978,4.7039984,-74.1174641,churn,B2B,446752.22000000003
591,4.7109886,-74.0720920,churn,B2B,4626720.0
1185,4.6151676,-74.1031914,on boarding,B2B,
2156,4.5707280,-74.2342024,on boarding,B2B,
422,4.6442111,-74.0827781,churn,B2B,11850000.0
19716,4.6086305,-74.1158551,uci,B2B,705231.0088917
3257,4.5807867,-74.1809575,on boarding,B2B,
4243,4.7109886,-74.0720920,on boarding,B2B,
3429,4.7109886,-74.0720920,on boarding,B2B,
1595,4.7531491,-74.0271351,safe,B2B,19745389.2015194
2372,4.7168389,-74.0648466,on boarding,B2B,
6515,4.6278587,-74.1656419,on boarding,B2B,
7555,4.7088278,-74.0452491,on boarding,B2B,
7668,4.6822600,-74.0492300,on boarding,B2B,
6534,4.6859470,-74.1013421,on boarding,B2C,
8437,4.6041880,-74.0825510,on boarding,B2B,
8605,4.7101073,-74.1148650,on boarding,B2C,
9053,4.6669518,-74.0652353,on boarding,B2C,
9294,4.7444314,-74.0578887,on boarding,B2C,
5970,4.7159572,-74.0557251,on boarding,B2B,
6265,4.6107607,-74.1988053,on boarding,B2B,
6270,4.6237098,-74.1421122,on boarding,B2B,
6340,4.6538789,-74.1360680,on boarding,B2B,
3804,4.5903980,-74.0925742,churn,B2B,2488289.72884415
3730,4.7410171,-74.1280691,churn,B2B,3764104.47
3277,4.6052994,-74.0788167,churn,B2B,39140738.857062295
2724,4.5160165,-74.1106630,churn,B2B,28844273.54
6885,4.6168424,-74.1746922,churn,B2B,3276252.0025
18917,4.6798358,-74.1516428,churn,B2B,245794.2
4950,4.6310188,-74.1672403,on boarding,B2B,
5348,4.6270119,-74.1807208,on boarding,B2B,
7576,4.6448986,-74.0722143,on boarding,B2B,
7815,4.5813940,-74.1796122,on boarding,B2B,
690,4.6072742,-74.1961297,uci,B2B,13882820.24
18177,4.5829277,-74.2137157,uci,B2B,393270.32
15468,4.7350619,-74.0986983,uci,B2B,29436589.1425646
2695,4.5655980,-74.1912246,safe,B2B,14279657.387600001
4728,4.7518776,-74.1165270,uci,B2B,47985.56
6366,4.7552760,-74.0859272,safe,B2B,520182.20132258
1147,4.7172750,-74.1164753,safe,B2B,2639163.2402682602
8165,4.5858936,-74.1342603,safe,B2B,16867462.4422399
1417,4.6921489,-74.1130615,churn,B2B,75708672.2845334
333,4.7661230,-74.0304909,on boarding,B2B,
402,4.6605344,-74.0792355,churn,B2B,108612965.17496
3759,4.5294122,-74.1670382,safe,B2B,50515795.9025806
2964,4.6627219,-74.1331440,churn,B2B,1506.54
938,4.6281378,-74.0994215,safe,B2B,12736548.471800001
13627,4.7576307,-74.1142885,safe,B2B,6390069.22483164
2130,4.5890034,-74.0737920,safe,B2B,34202849.8051644
5670,4.7416420,-74.0912053,safe,B2B,5696378.300000001
1517,4.5830726,-74.0862519,safe,B2B,20268259.381582998
1434,4.6138836,-74.1793207,on boarding,B2B,
17738,4.5752316,-74.1226706,churn,B2B,205489.2
772,4.5808489,-74.1090699,uci,B2B,5902491.62
19455,4.7012131,-74.1298890,on boarding,B2B,
159,4.6229350,-74.1892930,safe,B2B,118394692.776667
5449,4.6427030,-74.0697069,uci,B2B,5460591.3100000005
4156,4.6132949,-74.1258413,on boarding,B2B,
15730,4.6688258,-74.0654681,churn,B2B,44164107.0134998
6793,4.7196273,-74.1202558,churn,B2B,23842560.6417759
3342,4.6792821,-74.1522695,churn,B2B,4220355.600000001
8824,4.5827227,-74.2117465,churn,B2B,564978.48
8962,4.7101073,-74.1148650,on boarding,B2C,
9089,4.5732382,-74.1836317,on boarding,B2B,
9094,4.7109886,-74.0720920,on boarding,B2B,
9346,4.5757629,-74.0769389,on boarding,B2B,
9602,4.7109886,-74.0720920,on boarding,B2B,
9669,4.6341409,-74.0661069,on boarding,B2C,
8859,4.6237297,-74.1421103,churn,B2B,1222001.48
7984,4.6211187,-74.1996317,churn,B2B,941350.3189247401
8194,4.6196878,-74.1901191,on boarding,B2B,
9046,4.6127832,-74.1827722,churn,B2B,966305.68358809
20875,4.6806114,-74.1077751,on boarding,B2B,
21069,4.6144921,-74.0853518,on boarding,B2B,
21479,4.6301213,-74.1819469,on boarding,B2B,
21534,4.6134706,-74.1516620,churn,B2B,982500.0213
1624,4.6149326,-74.1969633,churn,B2B,4889852.71
8964,4.5296898,-74.1267348,on boarding,B2B,
21163,4.5829294,-74.1281779,on boarding,B2B,
4931,4.6197960,-74.1516125,safe,B2B,14481686.1227667
20269,4.6961087,-74.1786334,on boarding,B2B,
7942,4.6342993,-74.1886140,on boarding,B2C,
4795,4.7518776,-74.1165270,uci,B2B,13964814.9057
7966,4.5817902,-74.2130857,on boarding,B2B,
8435,4.7109886,-74.0720920,on boarding,B2B,
