id,source_country,source_client,lat,lng
7984,COLOMBIA,Client,4.6211187,-74.1996317
15076,COLOMBIA,Client,4.546677,-74.1084191
36302,COLOMBIA,Client,4.7470616,-74.0359315
12998,COLOMBIA,Client,4.6014216,-74.1651055
13543,COLOMBIA,Client,4.5829971,-74.2089408
15158,COLOMBIA,Client,4.580402,-74.1008535
8926,COLOMBIA,Client,4.5290158,-74.0913349
403,COLOMBIA,Client,4.5881895,-74.2224612
23876,COLOMBIA,Client,10.9586309,-74.7949775
3390,COLOMBIA,Client,4.6412504,-74.1713497
31087,COLOMBIA,Client,4.665475,-74.1199958
9953,COLOMBIA,Client,4.5367655,-74.1143455
35588,COLOMBIA,Client,4.6799259,-74.0960225
5560,COLOMBIA,Client,4.7176677,-74.2118741
22919,COLOMBIA,Client,4.7426799,-74.030753
13667,COLOMBIA,Client,4.545111,-74.1114806
23869,COLOMBIA,Client,7.1277686,-73.1122069
20671,COLOMBIA,Client,6.1638423,-75.6197704
11517,COLOMBIA,Client,4.6573666,-74.067467
10123,COLOMBIA,Client,3.351703,-76.5443781
3085,COLOMBIA,Client,4.6983565,-74.0999469
23839,COLOMBIA,Client,6.2780165,-75.554175
18729,COLOMBIA,Client,10.9627555,-74.8230291
5110,COLOMBIA,Client,4.7232196,-74.0856317
35594,COLOMBIA,Client,6.2060823,-75.5847851
26489,COLOMBIA,Client,4.7560438,-74.0693376
10583,COLOMBIA,Client,4.6178196,-74.1647911
31697,COLOMBIA,Client,4.6207041,-74.0911072
24634,COLOMBIA,Client,10.8712902,-74.7766316
20237,COLOMBIA,Client,10.9601841,-74.860671
31763,COLOMBIA,Client,6.1507686,-75.6167095
12971,COLOMBIA,Client,4.5416692,-74.1516604
12385,COLOMBIA,Client,3.401821,-76.546232
26435,COLOMBIA,Client,4.719519,-74.05795
2828,COLOMBIA,Client,3.4280753,-76.5115649
6091,COLOMBIA,Client,4.8654279,-74.0439147
21698,COLOMBIA,Client,4.6485729,-74.1755239
5319,COLOMBIA,Client,7.1200135,-73.1275844
31787,COLOMBIA,Client,4.673161,-74.1463973
16089,COLOMBIA,Client,4.5265709,-74.1145879
21065,COLOMBIA,Client,4.7375264,-74.0752919
28110,COLOMBIA,Client,10.8947785,-74.8172479
3799,COLOMBIA,Client,4.9654649,-73.9117169
16973,COLOMBIA,Client,6.2870356,-75.548293
30729,COLOMBIA,Client,6.1966791,-75.5625925
5195,COLOMBIA,Client,4.7160108,-74.1380815
36313,COLOMBIA,Client,4.6563579,-74.1112615
7011,COLOMBIA,Client,4.6277875,-74.1542131
26516,COLOMBIA,Client,4.9585643,-74.285231
377,COLOMBIA,Client,4.6044671,-74.1216424
37023,COLOMBIA,Client,4.610811,-74.1993994
4369,COLOMBIA,Client,7.0854502,-73.1179727
34875,COLOMBIA,Client,4.6298052,-74.1806941
26718,COLOMBIA,Client,6.9938421,-73.0823615
36741,COLOMBIA,Client,4.7543037,-74.0886053
14835,COLOMBIA,Client,4.6852456,-74.0900918
5100,COLOMBIA,Client,4.872476,-74.1457699
4734,COLOMBIA,Client,4.7518776,-74.116527
37361,COLOMBIA,Client,4.5805478,-74.4454677
9748,COLOMBIA,Client,4.5878919,-74.1256389
36814,COLOMBIA,Client,4.3394341,-74.3633368
24162,COLOMBIA,Client,4.6476488,-74.0652725
8895,COLOMBIA,Client,4.5250374,-74.1384018
33609,COLOMBIA,Client,10.9236749,-74.7940954
