RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE
CERAMICA E OLARIA ABCD INDUSTRIA DE BLOCOS CERAMICOS LTDA,370590000144,"RUA MOCAMBO  290 , SANTO ANDRE",-23.6252736,-46.5160097,SANTO ANDRE
PROJETA COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,383683000103,"RUA MIRANDINHA  453 , SAO PAULO",-23.526171,-46.5363663,SAO PAULO
NELSON DOS SANTOS PAES JUNIOR,386637000168,"RUA RUA UNA DO PRELADO  178 , SAO PAULO",-23.6745948,-46.6892273,SAO PAULO
ELITE ELETRICIDADE TECNICA LTDA,396474000102,"AVENIDA DOUTOR VITAL BRASIL  711 , SAO PAULO",-23.5706882,-46.7110455,SAO PAULO
RODRIGUES ARTEFATOS DE MADEIRA E COMERCIO LTDA,401846000133,"RUA DIAMANTINA MATHEUS  310 , SAO PAULO",-23.4652671,-46.671851,SAO PAULO
ADRIANA E CARLOTA PINTURA E OBJETOS LTDA,405098000167,"RUA CAPITAO GUEDES PORTILHO  6 , SAO PAULO",-23.5913541,-46.6791195,SAO PAULO
JAIR COMERCIAL DE VIDROS E MOLDURAS LTDA,414910000110,"RUA JOSE  BARROS MAGALDI  1314 , SAO PAULO",-23.6690421,-46.7381217,SAO PAULO
JOTAMA COMERCIAL ELETRICA EIRELI,416062000189,"AVENIDA VOLUNTARIO FERNANDO PINHEIRO FRANCO  253 , MOGI DAS CRUZES",-23.5246921,-46.1971519,MOGI DAS CRUZES
NOVA ARTE  COMERCIO DE ACABAMENTOS PARA CONSTRUCAO LTDA,418495000173,"RUA DAS PALMEIRAS  393 , SANTO ANDRE",-23.6473847,-46.5384355,SANTO ANDRE
VIDRACARIA FKR EIRELI,425097000184,"RUA AGUDOS  239 , OSASCO",-23.5145601,-46.7767409,OSASCO
FLANKE AUTOMACAO LTDA,430278000107,"RUA ENGENHEIRO SILVA BRAGA  355 , SAO PAULO",-23.6294361,-46.6122869,SAO PAULO
JOMAG COMERCIO E COLOCACOES DE DIVISORIAS LTDA,431251000120,"RUA DOS CRISTAIS  181 , SAO CAETANO DO SUL",-23.6096592,-46.551776,SAO CAETANO DO SUL
CLAUDIO G V PINTO MATERIAIS DE CONSTRUCAO,432683000156,"ESTRADA DO RIO ACIMA  4572 , SAO BERNARDO DO CAMPO",-23.802383,-46.5419616,SAO BERNARDO DO CAMPO
L & F CARDOSO LIMITADA,441425000136,"RUA MAX PLANCK  200 , SAO PAULO",-23.5319287,-46.4779036,SAO PAULO
L & F CARDOSO LIMITADA,441425000217,"RUA CLAUDIO PTOLOMEU  667 , SAO PAULO",-23.5320784,-46.477644,SAO PAULO
PAULO DE TARCIO SILVA,445430000117,"AVENIDA MARECHAL TITO  2805 , SAO PAULO",-23.4936209,-46.4185461,SAO PAULO
"SIEG COMERCIO, ASSESSORIA EM TECNOLOGIA E AUTOMACAO LTDA",448801000114,"RUA CESAR PENA RAMOS,  306 , SAO PAULO",-23.4905632,-46.6637584,SAO PAULO
TEKMAT MATERIAIS PARA CONSTRUCAO LTDA,453190000100,"AVENIDA LUCAS NOGUEIRA GARCES  39 , POA",-23.5312517,-46.347146,POA
NESTOR FERRAZ DE PAIVA,454814000104,"RUA ABIORAMA  359 , MOGI DAS CRUZES",-23.5572594,-46.222657,MOGI DAS CRUZES
CONSTRUTEM COMERCIO E ASSISTENCIA LTDA,455001000120," JOAQUIM NABUCO  49 , SAO CAETANO DO SUL",-23.6175286,-46.5763358,SAO CAETANO DO SUL
PROMOCAO MATERIAIS PARA CONSTRUCAO LTDA,461701000128,"RUA ITAPEIM  1313 , SAO PAULO",-23.6197227,-46.7299052,SAO PAULO
PENKY COMERCIAL EIRELI,465530000105,"RUA AGUDOS  341 , OSASCO",-23.5138501,-46.777257,OSASCO
