,RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE,weight
4111,RFN TRANSPORT COMERCIAL EIRELI,10570944000158,"AVENIDA MANUEL PIRES DO PRADO  44 , SAO PAULO",-23.4784872,-46.7471648,SAO PAULO,2
4112,HBFER ESTRUTURAS METALICAS LTDA,10573206000164,"RUA NICOLAU BATANERO CAMPOS  47 , SAO PAULO",-23.4820589,-46.6830783,SAO PAULO,2
4113,ROFER TOOLS FERRAMENTAS LTDA,10579612000134,"RUA TEREZINHA  40 , SAO PAULO",-23.5786064,-46.528711,SAO PAULO,2
4114,"VALVULEX DO BRASIL  COMERCIO DE CONEXOES, VALVULAS E TUBOS INDUSTRIAIS LTDA",10582719000131,"AVENIDA DO ORATORIO  1138 , SAO PAULO",-23.5873606,-46.5567749,SAO PAULO,2
4115,ACO FORTE COMERCIAL LTDA,10583502000146,"RUA ARISTOTELES COSTA PINTO  823 , SAO PAULO",-23.7348205,-46.6830824,SAO PAULO,4
4116,ARTISA METAIS EIRELI,10585179000140,"RUA CLEMENTE PEREIRA  503 , SAO PAULO",-23.5978411,-46.6004548,SAO PAULO,1
4117,FABRICIO XAVIER ALMEIDA SOARES,10587175000109,"ESTRADA MIGUEL DIB JORGE  235 , FERRAZ DE VASCONCELOS",-23.545635,-46.3600412,FERRAZ DE VASCONCELOS,4
4118,IZABEL CRISTINA TRINDADE DA SILVA,10587805000137,"RUA DIADEMA  139 , JANDIRA",-23.5426724,-46.8975212,JANDIRA,4
4119,G R DOS SANTOS VIDROS,10588336000170,"RUA SIMAO LOPES  238 , SAO PAULO",-23.6313792,-46.6068144,SAO PAULO,2
4120,MAGAZINE ARTBOX LEGAL LTDA,10591322000106,"RUA SANTANESIA  599 , SAO PAULO",-23.5748027,-46.7173506,SAO PAULO,2
4122,BMS COMERCIO E SERVICOS DE USINAGEM LTDA,10600488000141,"RUA REGINA DALBONI  389 , MAUA",-23.6800654,-46.4582704,MAUA,4
4123,WE COMERCIO E SERVICOS DE MATERIAIS ELETRICOS E HIDRAULICOS LTDA,10604598000181,"RUA AGUANAVAL  202 , SAO PAULO",-23.7337478,-46.7031915,SAO PAULO,4
4124,MADEIREIRA & MATERIAL DE CONSTRUCAO IRAMAR LTDA,10605832000195,"AVENIDA PROFESSOR JOSE BARRETO  669 , COTIA",-23.6025996,-46.9226805,COTIA,4
4125,PERSIPISOS  DECORACOES LTDA,10608617000148,"RUA ALMEIDA TORRES,  414 , SAO PAULO",-23.5697088,-46.6263374,SAO PAULO,1
4126,JMRA PISCINAS LTDA,10611056000136,"RUA GENERAL FRANCISCO GLICERIO  1721 , SUZANO",-23.5492832,-46.3138861,SUZANO,4
4127,OMA COMERCIO DE STANDS PARA FEIRAS E EVENTOS LTDA,10611774000102,"ESTRADA ABIAS DA SILVA  900 , ITAPECERICA DA SERRA",-23.7425855,-46.8020876,ITAPECERICA DA SERRA,4
