,source_country,macrozone,microzone,r8_h3
236,COLOMBIA,Cartagena,Cartagena,8866313803fffff
237,COLOMBIA,Cartagena,Cartagena,8866313815fffff
238,COLOMBIA,Cartagena,Cartagena,8866313817fffff
239,COLOMBIA,Cartagena,Cartagena,8866313811fffff
240,COLOMBIA,Cartagena,Cartagena,886631381bfffff
241,COLOMBIA,Cartagena,Cartagena,88663138cdfffff
242,COLOMBIA,Cartagena,Cartagena,8866313813fffff
243,COLOMBIA,Cartagena,Cartagena,88663138edfffff
244,COLOMBIA,Cartagena,Cartagena,88663138abfffff
245,COLOMBIA,Cartagena,Cartagena,88663138b1fffff
246,COLOMBIA,Cartagena,Cartagena,88663138e9fffff
247,COLOMBIA,Cartagena,Cartagena,88663138a7fffff
248,COLOMBIA,Cartagena,Cartagena,88663138e1fffff
249,COLOMBIA,Cartagena,Cartagena,88663138e3fffff
250,COLOMBIA,Cartagena,Cartagena,8866312a49fffff
251,COLOMBIA,Cartagena,Cartagena,88663138b5fffff
252,COLOMBIA,Cartagena,Cartagena,88663138bdfffff
253,COLOMBIA,Cartagena,Cartagena,88663138a1fffff
254,COLOMBIA,Cartagena,Cartagena,8866313887fffff
255,COLOMBIA,Cartagena,Cartagena,8866313885fffff
256,COLOMBIA,Cartagena,Cartagena,88663138a9fffff
257,COLOMBIA,Cartagena,Cartagena,88663138a3fffff
258,COLOMBIA,Cartagena,Cartagena,88663138d5fffff
259,COLOMBIA,Cartagena,Cartagena,8866313889fffff
260,COLOMBIA,Cartagena,Cartagena,8866313881fffff
261,COLOMBIA,Cartagena,Cartagena,88663138c3fffff
262,COLOMBIA,Cartagena,Cartagena,88663138ebfffff
263,COLOMBIA,Cartagena,Cartagena,886631388bfffff
264,COLOMBIA,Cartagena,Cartagena,8866313883fffff
265,COLOMBIA,Cartagena,Cartagena,88663138c7fffff
266,COLOMBIA,Cartagena,Cartagena,886631388dfffff
267,COLOMBIA,Cartagena,Cartagena,88663138b9fffff
268,COLOMBIA,Cartagena,Cartagena,88663138d1fffff
269,COLOMBIA,Cartagena,Cartagena,88663138c1fffff
270,COLOMBIA,Cartagena,Cartagena,88663138ddfffff
271,COLOMBIA,Cartagena,Cartagena,88663138c5fffff
272,COLOMBIA,Cartagena,Cartagena,88663138d9fffff
273,COLOMBIA,Cartagena,Cartagena,88663138cbfffff
274,COLOMBIA,Cartagena,Cartagena,8866313805fffff
275,COLOMBIA,Cartagena,Cartagena,8866313839fffff
276,COLOMBIA,Cartagena,Cartagena,886631386dfffff
277,COLOMBIA,Cartagena,Cartagena,8866313863fffff
278,COLOMBIA,Cartagena,Cartagena,8866313831fffff
279,COLOMBIA,Cartagena,Cartagena,8866313837fffff
280,COLOMBIA,Cartagena,Cartagena,8866313829fffff
281,COLOMBIA,Cartagena,Cartagena,886631383bfffff
282,COLOMBIA,Cartagena,Cartagena,8866313911fffff
283,COLOMBIA,Cartagena,Cartagena,886631391bfffff
284,COLOMBIA,Cartagena,Cartagena,8866313861fffff
285,COLOMBIA,Cartagena,Cartagena,886631382dfffff
286,COLOMBIA,Cartagena,Cartagena,8866313801fffff
287,COLOMBIA,Cartagena,Cartagena,8866313865fffff
288,COLOMBIA,Cartagena,Cartagena,8866313835fffff
289,COLOMBIA,Cartagena,Cartagena,8866312a87fffff
290,COLOMBIA,Cartagena,Cartagena,88663138b3fffff
291,COLOMBIA,Cartagena,Cartagena,8866312a83fffff
292,COLOMBIA,Cartagena,Cartagena,8866312ac7fffff
293,COLOMBIA,Cartagena,Cartagena,886631216dfffff
294,COLOMBIA,Cartagena,Cartagena,8866312a11fffff
295,COLOMBIA,Cartagena,Cartagena,8866312a43fffff
296,COLOMBIA,Cartagena,Cartagena,8866313891fffff
297,COLOMBIA,Cartagena,Cartagena,8866312a0bfffff
298,COLOMBIA,Cartagena,Cartagena,8866312a51fffff
299,COLOMBIA,Cartagena,Cartagena,8866312a89fffff
300,COLOMBIA,Cartagena,Cartagena,8866312a85fffff
301,COLOMBIA,Cartagena,Cartagena,8866312aa1fffff
302,COLOMBIA,Cartagena,Cartagena,8866312161fffff
303,COLOMBIA,Cartagena,Cartagena,8866312ae7fffff
304,COLOMBIA,Cartagena,Cartagena,8866312ae1fffff
305,COLOMBIA,Cartagena,Cartagena,8866312aedfffff
306,COLOMBIA,Cartagena,Cartagena,8866312101fffff
307,COLOMBIA,Cartagena,Cartagena,8866312aabfffff
308,COLOMBIA,Cartagena,Cartagena,8866312a5dfffff
309,COLOMBIA,Cartagena,Cartagena,88663138b7fffff
310,COLOMBIA,Cartagena,Cartagena,8866312a37fffff
311,COLOMBIA,Cartagena,Cartagena,8866312a5bfffff
312,COLOMBIA,Cartagena,Cartagena,886631389dfffff
313,COLOMBIA,Cartagena,Cartagena,8866312a81fffff
314,COLOMBIA,Cartagena,Cartagena,8866312103fffff
315,COLOMBIA,Cartagena,Cartagena,8866312aadfffff
316,COLOMBIA,Cartagena,Cartagena,8866312a13fffff
317,COLOMBIA,Cartagena,Cartagena,8866312abdfffff
318,COLOMBIA,Cartagena,Cartagena,8866312acdfffff
319,COLOMBIA,Cartagena,Cartagena,8866312a33fffff
320,COLOMBIA,Cartagena,Cartagena,8866312aa3fffff
321,COLOMBIA,Cartagena,Cartagena,8866312a9dfffff
322,COLOMBIA,Cartagena,Cartagena,8866312859fffff
323,COLOMBIA,Cartagena,Cartagena,8866312ae5fffff
324,COLOMBIA,Cartagena,Cartagena,8866312167fffff
325,COLOMBIA,Cartagena,Cartagena,8866313895fffff
326,COLOMBIA,Cartagena,Cartagena,8866312a8dfffff
